id	ACTA2	AREG	ASCC2	BEST1	BRCA1	CREBBP	DDX5	EP300	ESR1	FAM96A	FHL2	GNL3	HIPK2	HSF1	IGSF9	JUN	MSH6	NCOA6	PARP1	PAWR	PCNA	PML	PPP2R5A	RPA1	SMAD3	SMARCA4	NCOA6IP	TP53	TP73L	WRN	WT1	WTAP
10020T	5.51728167817659453930900781415403	5.36885074655084881811717423261143	5.53921620751092014245386963011697	5.02104347718267796096824895357713	5.22730189595529459722911269636825	5.28630512485678494272178795654327	5.54681638251389941274283046368510	5.41140556785330417710611072834581	5.11828164154273679287143750116229	5.41829789000335004800490423804149	5.46175428421810771340005885576829	5.48340426635983124725726156611927	5.32876144156247111283164485939778	5.33406264315947087339964127750136	5.32316575687044490905464044772089	5.62902228412789806810678783222102	5.46088440217411275057202146854252	5.42658010008151769909545691916719	5.47033642262914199250189994927496	5.52840785001150791799773287493736	5.35797263384330246793751939549111	5.31255211806524929585293648415245	5.63316147905886133173680718755350	5.65149476408623918644025252433494	5.50003207040685548889769052038901	5.57583660422987570370878529502079	5.66818948726613047739419926074333	5.59147267885864529546324774855748	5.11828164154273679287143750116229	5.49161198581171294819114336860366	5.14672279264224385997295030392706	5.31972680513961559967128778225742
10095T	5.79253393698426677360657777171582	5.11828164154273679287143750116229	6.21489491808378069492846407229081	5.61297845483759072493512576329522	6.00795929348454116336597508052364	6.22473220215314704262254963396117	5.87328956052972728230088250711560	5.87792163164838843414372604456730	5.42658010008151769909545691916719	5.91523800471463179206921267905273	5.68906953243817170573493058327585	6.42804418133453747685734924743883	5.69180576130992932348817703314126	5.82175587244733350189562770538032	6.50062632541295926102975499816239	5.68420832375345153053558533429168	5.89775883121211386139748356072232	6.44351432532087198268300198833458	6.41336187322000039756630940246396	6.11959294055690250502266280818731	5.98908129990261617336955168866552	5.51262908626097658526532541145571	5.93308276580008087108808467746712	5.99739850755795078640630890731700	5.83456459300456931060807619360276	7.26782696686578244538168291910551	5.56863381179872440895906038349494	6.31403193541667118182658668956719	5.29299040967028844306696555577219	5.82007707645982463873224332928658	5.47941659060613339704559621168301	5.66326427873047322236743639223278
10158T	5.79590977666257600731114507652819	5.62902228412789806810678783222102	5.76358871337237399501418622094207	5.67876068390363464288839168148115	5.85575199489457176582618558313698	6.11051883722584676661426783539355	5.96178189564809368761189034557901	5.80775186620520589286797985550947	5.77169836454157714200619011535309	5.98707258517291052157816011458635	6.00697909477448455106696201255545	6.05558366294841832200290809851140	5.75838366814363578072288873954676	6.02382819078718334537825285224244	5.63120529077072617951671418268234	5.57096863572105771567066767602228	6.08000267438175256984322913922369	6.32818895118097035634718849905767	6.50657274679289354679667667369358	5.65321454233970577263335144380108	6.14626621645166348884004037245177	5.79448903390082836750707429018803	6.21179428518232690237255155807361	5.96589006722317627406937390333042	6.38930643550110488604332203976810	5.93098470307834535475421944283880	5.56624283234532590824983344646171	5.65709260323202389741936713107862	5.39907058028482644829182390822098	5.69180576130992932348817703314126	6.76513819351013889757950892089866	5.88617611429422638025243941228837
10165T	5.78286090891140602820996718946844	5.93308276580008087108808467746712	6.06111927624776125611560928518884	5.45743998115804540560702662332915	6.31783587414308733798407047288492	6.23609532919205999945688745356165	6.01565166284774477389873936772346	5.81683723506360816912774680531584	5.73864139281752105858913637348451	6.27419170319538110902612970676273	5.90099390571590109999533524387516	6.42196656746478211630346777383238	5.63568852256286945134888810571283	5.90140298041643163173830544110388	6.01565166284774477389873936772346	6.25600313407746533300723967840895	5.86453383560160546039696782827377	6.55509922986881932160940777976066	6.23330330362550366629648124217056	5.99102268361676237873325590044260	6.30996010567540821512011461891234	5.91623268709740823823040045681410	6.32424932619675317369001277256757	6.23503832832354021320497849956155	5.64932660375051476364660629769787	6.32424932619675317369001277256757	6.09504693555570931096099229762331	6.51692537188381582069496289477684	5.43705724788920718992812908254564	5.94708423971868338497870354331098	5.72627423176541583416110370308161	5.94501871796459280261615276685916
10174T	5.95281554916299349144992447691038	6.16535987186189959885496136848815	7.26782696686578244538168291910551	5.90284080218118578642361171660013	6.74767426659076363648637197911739	7.11712363614454623927940701832995	6.81311804030700773893158839200623	6.39263993211945091843517730012536	5.91981534022547872808672764222138	6.29603790512433736381581184105016	6.61641392715372766986092756269500	7.28679100529404433217450787196867	6.16535987186189959885496136848815	6.10994199209391020133352867560461	6.11492812586145895181743981083855	7.26782696686578244538168291910551	7.03380399892256580329785720095970	6.41336187322000039756630940246396	6.66128357828238559790179351693951	7.50392111963876473623713536653668	6.74433863324786386783671332523227	6.26266080693889382047245817375369	6.54976264719105305545099326991476	7.39777445565023938911508594173938	6.16535987186189959885496136848815	7.70708506302075679883500924916007	6.79026898748253060489332710858434	7.00481596433225828235435983515345	6.17387717614664754961495418683626	7.16028390873977294006635929690674	7.21689536183630764298868598416448	6.74392575857065867950268511776812
10180T	5.67876068390363464288839168148115	6.03898020653590172912572597851977	5.79590977666257600731114507652819	5.75997577395030990743407528498210	5.94505402268251081920880096731707	6.57520647044750639054200291866437	5.82772148700761327688724122708663	5.68055756619000451479450930492021	6.04544362605491425455284115741961	5.61132069070602845783923839917406	5.94477456074053822732139451545663	5.77828863494449240789663235773332	5.72482541431931668540755708818324	5.76661026701707868369339848868549	5.53130971389786196823479258455336	5.92183760548621851427242290810682	6.03464844133614253252062553656287	6.08000267438175256984322913922369	6.19740170012736513172058039344847	5.80775186620520589286797985550947	5.86593390384199420140021175029688	5.82417711234340629289363278076053	5.97981660634719514035850806976669	6.92320264316790634495646372670308	5.81852082568957040820123438606970	5.93308276580008087108808467746712	5.55422905392483556852312176488340	5.71111656258140154562852330855094	6.88246575814590499931000522337854	6.35384320997786034013188327662647	5.72334963960608078537006804253906	5.85453352438726781770128582138568
10183T	6.04812674108359882296781506738625	6.10750312724847077561207697726786	6.95531745369198439732372207799926	6.17932214198884732780925332917832	6.40984335796540438678903228719719	6.91968600249636356380733559490182	6.06111927624776125611560928518884	5.91149122027644757793041208060458	5.78134581112364465127484436379746	6.24407187769109661701349978102371	6.10377371041221206127147524966858	6.76145018365806382831806331523694	5.62331351590356565139927624841221	6.39263993211945091843517730012536	5.85134627967632070522085996344686	7.45006556949162224157134915003553	6.95531745369198439732372207799926	6.30038734018594492880538382451050	6.34622099815200346739629821968265	7.19308373706345882681034709094092	6.40977229927207314830184259335510	6.06689550892905771206642384640872	5.84627591748610253574724993086420	6.52445674877313663841960078570992	5.60882136362802352635981151252054	6.78066705365336108712881468818523	7.79073294696822049587581204832532	6.33125394549006870192897622473538	6.00128455364864166199367900844663	7.19308373706345882681034709094092	5.84378017286292372745037937420420	6.44290172949992534512375641497783
10193T	6.02574951886838405812341079581529	5.92183760548621851427242290810682	6.56085157611617830752948066219687	6.09206680738609840375374915311113	5.87323296308204589877277612686157	6.08890857609996238863914186367765	6.08258849066394269300417363410816	5.79253393698426677360657777171582	5.76534113642748913264313159743324	6.16094371189007006250903941690922	5.99383870778016714098157535772771	6.58809708644679137279354108613916	5.72148422066303918853691357071511	6.07498167489042284472589017241262	6.00341199346335585573797288816422	5.96792457903710893418747218674980	5.95281554916299349144992447691038	5.94922605116074443287743633845821	5.99523824473963706793711025966331	6.08980807156072057040319123188965	6.65556292232270596542775820125826	6.02555270570099921201290271710604	5.92554636965969994122360731125809	6.20973659836641989073768854723312	5.67012169796804688104430169914849	6.26958303171719588675614431849681	6.54976264719105305545099326991476	6.38492358869911491581206064438447	5.82631662057525900877408275846392	6.06324190478643032520267297513783	5.92319169377379406427053254446946	6.21408830623150532090903652715497
10196T	5.81683723506360816912774680531584	5.86126932557685975666572630871087	5.63120529077072617951671418268234	5.92359133630489509414474014192820	5.84274381651205843013485718984157	6.21946716163513002584295463748276	5.96983268763477337159883973072283	6.21179428518232690237255155807361	5.84467940497952120892932725837454	6.00385041165301203136550611816347	6.04200236356166264783951191930100	6.15689781738339902972256822977215	5.83136932111148720281335045001470	6.60465166626093846957701316569000	5.79898651081972715815027186181396	5.59590044255031315856285800691694	5.70928346634945427240381832234561	5.80922920758895511283981250016950	6.05431539732014201149468135554343	5.92554636965969994122360731125809	5.82856774444279768232490823720582	6.28552827759123644568717281799763	6.11959294055690250502266280818731	5.70259290938923513181180169340223	6.24319569515573657980667121591978	5.92359133630489509414474014192820	5.62331351590356565139927624841221	5.87945606630394657088345411466435	5.58910249977883921701504732482135	5.62902228412789806810678783222102	5.50691652539585341230576887028292	5.94579442643250644096042378805578
19T	6.32424932619675317369001277256757	5.90621453460220280362591438461095	6.11232168839206657651175191858783	5.93308276580008087108808467746712	6.43280890170381614012740101316012	6.00811535556379539002591627649963	7.26782696686578244538168291910551	7.50392111963876473623713536653668	5.86603754999863014063521404750645	7.11344386799301275914331199601293	7.03538186882128968591132434085011	6.72655505604308245892752893269062	6.43465958298011120319870315142907	6.50062632541295926102975499816239	6.15167721044154802712000673636794	6.66900549921136942543853365350515	6.71211975561772788978487369604409	7.26782696686578244538168291910551	7.22857533540879515499000262934715	6.47512315537611193860811908962205	7.70227826857909025903836663928814	6.10894195345219070958364682155661	6.51162663972190891570335224969313	7.32905891394326758359056839253753	6.34224858118350276470209792023525	7.09333727303842653810761476051994	6.13793278461388425171207927633077	7.12475099609799755739913962315768	6.10994199209391020133352867560461	6.56670755660266181052975298371166	6.20884835750797670073097833665088	6.23700346513935155456920256256126
