gene\sample-id	Case-10T	Case-11T	Case-12T	Case-14T	Case-16T	Case-18T	Case-1T	Case-21T	Case-26T	Case-4T	Case-5T	Case-6T	Case-19T	Case-2T	Case-3T	Case-8T	Case-9T	Case_27T_RNA	Case_28T_RNA	Case_29T_RNA	Case_30T_RNA	Case_31T_RNA	Case_32T_RNA	Case_33T_RNA	Case_34T_RNA	Case_35T_RNA	Case_36T_RNA	Case_37T_RNA
ACTA2	9.697528	8.906284	8.246823	7.972888	8.171632	7.084341	6.490024	6.916027	9.124380	6.930649	8.853388	8.777948	8.115706	9.924393	7.289981	6.677772	8.891649	10.219019	10.923392	10.064502	9.810460	9.241588	8.105464	7.003738	7.704220	7.893762	8.634136	8.030073
AREG	1.880021	5.041767	4.705522	0.000000	5.028840	3.479714	4.595856	4.122902	6.923976	5.044390	2.645072	5.152990	0.858148	4.228408	3.772464	6.044563	0.663031	5.845672	6.330682	0.000000	5.532926	7.796958	6.726025	7.314334	7.154515	8.070607	7.249046	7.052900
ASCC2	5.072821	5.063009	4.620332	4.840856	4.639053	4.367243	5.313146	4.454053	4.617283	5.292207	5.538603	5.484253	4.345358	4.414007	4.969486	0.000000	4.679511	5.637591	5.420967	4.958904	5.391576	5.251257	5.022673	5.297582	5.435855	5.142742	5.062170	4.187602
BEST1	3.276251	2.607327	2.954889	2.446934	2.513249	1.503686	2.562834	2.722104	3.759902	2.741159	2.834816	2.705308	1.994506	2.936965	2.830208	0.000000	2.815986	4.084805	3.351053	2.612307	3.765458	3.109222	4.040263	3.386693	3.771178	2.675586	3.482368	4.000450
BRCA1	3.490884	3.678537	3.465357	4.186278	3.111770	3.353646	4.456883	3.494880	4.409266	3.541079	3.439666	3.410100	3.634383	3.347930	3.746281	6.750783	3.570559	6.304708	4.960291	4.575426	3.916886	4.847179	6.789692	6.143146	5.155898	5.975188	4.963172	6.203431
CREBBP	5.766496	5.726873	5.723735	5.290341	5.340055	4.844742	5.700355	5.826661	5.671581	5.170810	6.144570	6.322182	5.679264	5.691916	4.988646	0.000000	5.632613	8.056584	7.615136	7.840608	7.570016	7.646469	8.445587	6.801908	7.430585	7.236481	7.203172	6.625686
DDX5	9.378215	9.103813	8.829122	8.376786	8.388319	7.814352	9.659893	9.262693	9.935504	9.558918	9.057442	9.134192	8.119485	8.348664	9.061851	0.000000	9.669328	9.543419	9.916773	9.583138	9.416171	9.673414	9.358190	8.907391	8.749234	9.239168	8.633283	7.919414
EP300	5.459539	5.457631	4.910490	4.807242	5.059375	4.706545	5.239633	5.451373	5.483340	5.195597	5.459584	5.543256	4.887423	5.409790	4.849929	0.000012	5.113117	6.183226	6.325218	6.249028	5.762964	6.112017	6.792723	6.285764	6.098584	5.691813	6.169650	5.581562
ESR1	3.107502	1.032638	1.688411	2.442890	1.715334	2.080821	1.800926	2.186365	0.710207	1.072291	2.482599	2.449179	2.407684	0.768748	1.062058	0.000000	2.136430	0.095360	2.355746	5.443070	3.910475	2.416782	1.658993	0.860737	1.833418	0.650066	0.522699	0.525057
FAM96A	4.158208	4.724766	5.749695	5.892065	5.249232	5.776130	5.354871	5.122929	6.033736	4.730820	4.245077	4.423512	5.712128	4.878742	5.089949	0.000000	4.742792	3.651177	4.834890	6.115070	5.313981	5.324358	4.539300	5.391297	4.946179	5.131604	6.074176	6.776316
FHL2	7.118530	6.829222	7.067219	5.754870	6.935161	7.276093	6.296801	5.809510	7.957590	6.761139	7.266398	6.746453	7.091323	6.790856	6.188252	6.565101	6.267317	5.930884	5.375677	5.911640	4.530148	4.385068	4.599799	5.157637	5.900542	5.876704	5.973115	4.480935
GNL3	4.433464	5.032027	5.153299	5.771285	5.145403	5.135588	5.470345	5.069111	4.468486	4.739232	4.724795	5.154083	5.603275	4.609686	5.488696	6.864010	4.284733	5.561837	5.796187	5.929448	5.692091	5.796868	5.853559	6.442381	6.257907	6.204995	7.177807	5.133229
HIPK2	5.874616	5.189967	4.934452	6.670531	5.541108	3.808609	5.922800	5.172416	5.273665	5.813490	5.584375	5.603704	3.695215	5.022798	5.912008	0.000000	4.702826	5.317943	5.685973	4.968175	4.643865	4.985432	6.317718	4.704378	4.622185	5.050900	4.806823	4.632654
HSF1	5.770037	5.228962	5.996039	5.580931	5.404850	4.586336	5.586037	5.109179	7.061187	4.494381	5.496462	5.882788	5.007077	5.803490	5.324700	0.000000	5.045027	5.254564	5.374023	4.716195	5.245341	4.446066	5.862924	5.748542	5.455166	4.935812	6.362839	4.100815
IGSF9	4.193453	3.673082	4.046124	2.773607	2.863742	2.405043	5.434886	1.822871	3.198229	3.883440	3.999635	3.165166	1.092939	2.821718	3.485882	0.000000	0.328990	2.251599	2.584675	1.505882	2.430229	0.431804	3.764739	0.940903	1.799007	2.664442	1.899552	0.885143
JUN	7.570977	6.096819	7.125602	6.179916	6.813372	5.339280	6.616796	5.386947	6.851120	5.435104	6.982946	7.867258	5.905346	5.833901	5.104457	0.000000	5.294710	5.238968	5.811069	5.133440	6.454341	4.550289	5.562216	3.645771	4.334791	5.196190	5.016976	2.070530
MSH6	4.565379	4.174550	4.598099	5.744037	4.140006	4.196508	5.122267	4.722571	4.617266	3.984729	4.398835	3.855042	5.064124	4.163993	4.466788	5.936175	4.450435	5.480262	6.300852	6.809260	5.263155	5.833730	7.048772	6.569026	5.987022	6.079308	5.736526	5.497018
NCOA6	4.471973	4.896971	4.116502	4.633820	4.243290	4.333018	4.906793	4.715837	4.755139	4.370215	4.538188	5.276753	4.625676	4.849235	4.202767	0.000013	4.294653	4.541626	4.874171	4.389193	3.767462	4.232273	5.545144	4.482352	5.046128	4.195923	4.583910	5.239660
PARP1	4.745981	4.757920	5.319603	6.129858	5.073665	4.430946	5.866655	5.360755	6.013406	4.214414	4.623981	4.305793	5.920956	4.969352	5.267175	5.481114	5.363441	6.000629	5.918883	6.041313	6.316388	6.258469	7.078997	5.998705	5.714398	6.788818	5.603510	5.506500
